"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
166, 467.01, 488.26, 713.23, 845.17, 433.94, 341.02, 14.57, 433.94, 0.01
167, 500.78, 488.34, 707.52, 850.82, 434.05, 339.32, 8.71, 434.05, 0.02
168, 471.32, 488.54, 715.93, 858.39, 434.02, 341.05, 8.76, 434.02, 0.01
169, 492.62, 488.24, 718.74, 877.90, 434.06, 332.32, 8.99, 434.06, 0.02
170, 474.43, 488.24, 725.16, 825.81, 433.98, 345.63, 14.34, 433.98, 0.01
171, 482.17, 488.32, 726.20, 835.52, 434.13, 349.10, 11.37, 434.13, 0.01
172, 487.26, 488.51, 707.66, 853.33, 434.13, 334.62, 8.89, 434.13, 0.01
173, 475.49, 488.39, 722.98, 839.63, 433.89, 337.81, 8.81, 433.89, 0.01
174, 458.70, 488.48, 724.07, 861.08, 434.08, 331.13, 8.94, 434.08, 0.01
175, 483.82, 488.50, 725.57, 864.06, 434.04, 332.75, 11.92, 434.04, 0.01
176, 493.04, 488.29, 728.29, 854.92, 433.74, 333.51, 11.87, 433.74, 0.01
177, 488.85, 488.46, 726.58, 857.97, 434.01, 342.32, 8.70, 434.01, 0.01
178, 488.11, 488.22, 742.88, 830.66, 433.91, 356.68, 8.36, 433.91, 0.02
179, 491.56, 488.38, 707.23, 859.04, 434.11, 335.44, 11.81, 434.11, 0.03
180, 475.64, 488.36, 725.87, 855.53, 434.20, 330.61, 6.00, 434.20, 0.01
181, 485.71, 488.52, 726.10, 872.45, 433.96, 320.28, 12.33, 433.96, 0.01
182, 490.26, 488.39, 738.57, 841.03, 433.90, 338.58, 11.72, 433.90, 0.02
183, 480.96, 488.59, 723.85, 815.47, 434.07, 353.15, 11.25, 434.07, 0.01
184, 497.81, 488.48, 704.69, 849.28, 434.04, 343.49, 11.59, 434.04, 0.01
185, 459.21, 488.54, 748.27, 831.76, 434.03, 328.03, 9.07, 434.03, 0.01
186, 483.10, 488.41, 733.63, 811.19, 434.20, 353.20, 5.59, 434.20, 0.01
187, 496.79, 488.50, 710.37, 850.18, 434.16, 337.17, 11.81, 434.16, 0.01
